" Nom de la classe d’actions"," Classe d’actifs","Devise","ISIN"," Date de valorisation","VL"," Evolution quotidienne en valeur"," Evolution quotidienne en %"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","16.04.2024"," 393,4729"," -8,4906"," -2,1123"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","15.04.2024"," 401,9635"," 1,6045"," 0,4008"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","12.04.2024"," 400,3590"," -3,2887"," -0,8147"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","11.04.2024"," 403,6477"," 1,6710"," 0,4157"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","10.04.2024"," 401,9767"," -6,2594"," -1,5333"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","09.04.2024"," 408,2361"," 1,8827"," 0,4633"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","08.04.2024"," 406,3534"," 3,7890"," 0,9412"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","05.04.2024"," 402,5644"," -6,7263"," -1,6434"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","04.04.2024"," 409,2907"," 4,5696"," 1,1291"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","03.04.2024"," 404,7211"," -1,4954"," -0,3681"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","02.04.2024"," 406,2165"," -4,6173"," -1,1239"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","28.03.2024"," 410,8338"," 1,2582"," 0,3072"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","27.03.2024"," 409,5756"," -1,7656"," -0,4292"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","26.03.2024"," 411,3412"," 1,6875"," 0,4119"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","25.03.2024"," 409,6537"," -3,3665"," -0,8151"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","22.03.2024"," 413,0202"," -1,6462"," -0,3970"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","21.03.2024"," 414,6664"," 6,8268"," 1,6739"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","20.03.2024"," 407,8396"," 3,0047"," 0,7422"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","19.03.2024"," 404,8349"," -2,2604"," -0,5553"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","18.03.2024"," 407,0953"," 1,5794"," 0,3895"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","15.03.2024"," 405,5159"," -4,2536"," -1,0380"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","14.03.2024"," 409,7695"," -0,7700"," -0,1876"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","13.03.2024"," 410,5395"," 3,0338"," 0,7445"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","12.03.2024"," 407,5057"," 3,1019"," 0,7670"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","11.03.2024"," 404,4038"," -5,0006"," -1,2214"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","08.03.2024"," 409,4044"," 3,5081"," 0,8643"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","07.03.2024"," 405,8963"," 2,6551"," 0,6584"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","06.03.2024"," 403,2412"," -0,8445"," -0,2090"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","05.03.2024"," 404,0857"," -0,8802"," -0,2174"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","04.03.2024"," 404,9659"," 3,2624"," 0,8121"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","01.03.2024"," 401,7035"," 1,2710"," 0,3174"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","29.02.2024"," 400,4325"," 1,3862"," 0,3474"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","28.02.2024"," 399,0463"," -3,2278"," -0,8024"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","27.02.2024"," 402,2741"," -1,0086"," -0,2501"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","26.02.2024"," 403,2827"," -0,2714"," -0,0673"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","23.02.2024"," 403,5541"," 1,6574"," 0,4124"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","22.02.2024"," 401,8967"," 6,0999"," 1,5412"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","21.02.2024"," 395,7968"," -1,3391"," -0,3372"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","20.02.2024"," 397,1359"," -0,0815"," -0,0205"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","19.02.2024"," 397,2174"," -0,9824"," -0,2467"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","16.02.2024"," 398,1998"," 1,3147"," 0,3313"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","15.02.2024"," 396,8851"," 2,5694"," 0,6516"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","14.02.2024"," 394,3157"," 0,3952"," 0,1003"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","13.02.2024"," 393,9205"," -4,6414"," -1,1645"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","12.02.2024"," 398,5619"," 0,9301"," 0,2339"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","09.02.2024"," 397,6318"," 5,0865"," 1,2958"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","08.02.2024"," 392,5453"," 2,1606"," 0,5535"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","07.02.2024"," 390,3847"," 2,1338"," 0,5496"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","06.02.2024"," 388,2509"," 1,1639"," 0,3007"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","05.02.2024"," 387,0870"," -0,9949"," -0,2564"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","02.02.2024"," 388,0819"," 0,2827"," 0,0729"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","01.02.2024"," 387,7992"," -3,0657"," -0,7843"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","31.01.2024"," 390,8649"," 0,5078"," 0,1301"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","30.01.2024"," 390,3571"," 2,3025"," 0,5933"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","29.01.2024"," 388,0546"," -2,3706"," -0,6072"
"Schroder International Selection Fund Global Sustainable Growth C de capitalisation USD","Actions","USD","LU0557290854","26.01.2024"," 390,4252"," 2,9101"," 0,7510"
